,MAR,id_now,id_then,mass_now,mass_then,sf_now,sf_then,tdyn
0,30893.7025973088,3216571.0,2674224.0,377600000000000.0,244091878652053.0,1.1,0.79927,4321531902.08989
1,8940.98399380381,3209483.0,2666633.0,260400000000000.0,221761252434702.0,1.1,0.79927,4321531902.08989
2,6875.77100826933,3210583.0,2667868.0,170500000000000.0,140786136236299.0,1.1,0.79927,4321531902.08989
3,21393.6286099076,3225566.0,2683731.0,149400000000000.0,56946751460821.0,1.1,0.79927,4321531902.08989
4,5019.1528833996,3222074.0,2680002.0,126500000000000.0,104809570692922.0,1.1,0.79927,4321531902.08989
5,5548.37038978451,3220928.0,2678776.0,109400000000000.0,85422540355935.3,1.1,0.79927,4321531902.08989
6,12755.8544226328,3220873.0,2678703.0,79240000000000.0,24115168174178.0,1.1,0.79927,4321531902.08989
7,3525.98370280553,3211619.0,2669039.0,70110000000000.0,54872348942076.9,1.1,0.79927,4321531902.08989
8,9922.00491804639,3224453.0,2682567.0,67680000000000.0,24801739213969.7,1.1,0.79927,4321531902.08989
9,1418.86508948023,3225594.0,2683779.0,67030000000000.0,60898329251049.5,1.1,0.79927,4321531902.08989
10,3997.20899018113,3222100.0,2680062.0,62380000000000.0,45105933829611.7,1.1,0.79927,4321531902.08989
11,9283.69811962061,3224485.0,2682627.0,62380000000000.0,22260202406687.6,1.1,0.79927,4321531902.08989
12,5860.99310683871,3210607.0,2667947.0,54900000000000.0,29571531310867.5,1.1,0.79927,4321531902.08989
13,3771.96502758993,3211568.0,2668969.0,53860000000000.0,37559332799702.7,1.1,0.79927,4321531902.08989
14,2536.00482577132,3220998.0,2678901.0,48690000000000.0,37730574241575.3,1.1,0.79927,4321531902.08989
15,2269.93977934981,3214011.0,2671604.0,44780000000000.0,34970382827716.9,1.1,0.79927,4321531902.08989
16,2244.35296335943,3212869.0,2670359.0,43790000000000.0,34090957069292.2,1.1,0.79927,4321531902.08989
17,1569.07603331947,3210631.0,2667988.0,42940000000000.0,36159187865205.3,1.1,0.79927,4321531902.08989
18,2993.51129267191,3225640.0,2683859.0,42490000000000.0,29553445449452.0,1.1,0.79927,4321531902.08989
19,5792.86853309628,3215181.0,2672795.0,42020000000000.0,16985933829611.7,1.1,0.79927,4321531902.08989
20,1853.88525437358,3212907.0,2670408.0,41710000000000.0,33698375730410.5,1.1,0.79927,4321531902.08989
21,2171.07963971894,3224414.0,2682499.0,41530000000000.0,32147610074976.7,1.1,0.79927,4321531902.08989
22,1458.22577429995,3216607.0,2674346.0,40480000000000.0,34178230795913.0,1.1,0.79927,4321531902.08989
23,1023.68207773508,3220949.0,2678824.0,40100000000000.0,35676125243470.2,1.1,0.79927,4321531902.08989
24,668.20206810026,3223166.0,2681202.0,39750000000000.0,36862343445662.3,1.1,0.79927,4321531902.08989
25,771.766755192995,3209593.0,2666836.0,39000000000000.0,35664785346461.1,1.1,0.79927,4321531902.08989
