gamma_sp,id_now,id_then,m200b_now,m200b_then
1.2548119019289843,3216571.0,2385511.0,377600000000000.0,206200000000000.0
1.412328800134931,3209483.0,2377528.0,260400000000000.0,131800000000000.0
0.5339782859298471,3210583.0,2378830.0,170500000000000.0,131800000000000.0
2.9021514061903875,3225566.0,2395476.0,149400000000000.0,36870000000000.0
0.44852649729846483,3222074.0,2391589.0,126500000000000.0,101900000000000.0
1.0544576632667448,3220928.0,2390269.0,109400000000000.0,65800000000000.0
3.2196235423578625,3220873.0,2390182.0,79240000000000.0,16780000000000.0
1.8867744614407225,3211619.0,2380105.0,70110000000000.0,28230000000000.0
2.8876181359733617,3224453.0,2394285.0,67680000000000.0,16820000000000.0
1.27667292223417,3225594.0,2395540.0,67030000000000.0,36220000000000.0
0.7615557562752451,3222100.0,2391687.0,62380000000000.0,43210000000000.0
2.7420455720232852,3224485.0,2394364.0,62380000000000.0,16630000000000.0
1.4904642126681162,3210607.0,2378940.0,54900000000000.0,26760000000000.0
2.0913448276570477,3211568.0,2380019.0,53860000000000.0,19650000000000.0
0.5971095531370885,3220998.0,2390429.0,48690000000000.0,36510000000000.0
0.6495358640698025,3214011.0,2382835.0,44780000000000.0,32740000000000.0
0.5636349389598376,3212869.0,2381503.0,43790000000000.0,33370000000000.0
0.8155345980663222,3210631.0,2378984.0,42940000000000.0,28980000000000.0
0.8620751556194557,3225640.0,2395634.0,42490000000000.0,28040000000000.0
2.1337650953024565,3215181.0,2384048.0,42020000000000.0,15020000000000.0
2.3443136916597997,3212907.0,2381564.0,41710000000000.0,13470000000000.0
0.8011415254495725,3216607.0,2385680.0,40480000000000.0,27510000000000.0
0.5171931223659335,3220949.0,2390335.0,40100000000000.0,31250000000000.0
0.3697187097122704,3223166.0,2392886.0,39750000000000.0,33260000000000.0
0.6403958218200769,3209593.0,2377772.0,39000000000000.0,28640000000000.0
0.7091908968786357,3212858.0,2381478.0,35670000000000.0,25340000000000.0
2.8082991047545103,3224536.0,2394434.0,35320000000000.0,9120000000000.0
1.895152764994225,3212923.0,2381610.0,34960000000000.0,14020000000000.0
1.7899840343704077,3219624.0,2388834.0,34630000000000.0,14610000000000.0
1.1518417959568432,3213996.0,2382811.0,34450000000000.0,19770000000000.0
0.5554775237786714,3209611.0,2377815.0,32560000000000.0,24910000000000.0
0.5637329667870609,3216642.0,2385742.0,31640000000000.0,24110000000000.0
1.023262966194834,3223176.0,2392927.0,31200000000000.0,19050000000000.0
1.6635374638514697,3219612.0,2388803.0,31110000000000.0,13950000000000.0
1.7025574856984915,3222165.0,2391797.0,30860000000000.0,13580000000000.0
0.705780422019903,3216655.0,2385775.0,30510000000000.0,21710000000000.0
0.20067654392124729,3216671.0,2385807.0,29820000000000.0,27070000000000.0
0.4842008375005551,3217498.0,2386738.0,28770000000000.0,22780000000000.0
2.79746420832201,3210672.0,2379060.0,27920000000000.0,7247000000000.0
1.2252951265726029,3225661.0,2395683.0,27640000000000.0,15310000000000.0
0.9871108857015966,3224436.0,2394249.0,27120000000000.0,16850000000000.0
1.2684631313423027,3220894.0,2390220.0,27060000000000.0,14680000000000.0
1.6856234549221283,3216678.0,2385837.0,26890000000000.0,11930000000000.0
1.3161060024221853,3219667.0,2388889.0,26840000000000.0,14230000000000.0
0.8351141638717374,3211676.0,2380222.0,26490000000000.0,17710000000000.0
2.3890901346606945,3211666.0,2380198.0,26360000000000.0,8331000000000.0
0.7409536365212018,3214054.0,2382927.0,25300000000000.0,17700000000000.0
1.1796373369027748,3215199.0,2384098.0,24760000000000.0,14020000000000.0
0.7919366951246244,3215186.0,2384074.0,24450000000000.0,16690000000000.0
0.6873322122517214,3212955.0,2381667.0,23930000000000.0,17180000000000.0
2.39270579988552,3219681.0,2388923.0,23360000000000.0,7370000000000.0
1.590128920479765,3214038.0,2382896.0,23140000000000.0,10750000000000.0
2.2182892425330696,3224542.0,2394459.0,22930000000000.0,7869000000000.0
0.503489296783563,3225607.0,2395584.0,22920000000000.0,17980000000000.0
0.6287839956446637,3222178.0,2391831.0,22790000000000.0,16830000000000.0
1.8105165047412224,3221032.0,2390509.0,22670000000000.0,9470000000000.0
1.5310335429532222,3215221.0,2384139.0,22490000000000.0,10750000000000.0
1.6635297664564803,3225651.0,2395662.0,22020000000000.0,9874000000000.0
0.5924100655153728,3221022.0,2390485.0,21010000000000.0,15790000000000.0
0.9772558693774928,3222201.0,2391879.0,20600000000000.0,12860000000000.0
0.4247656151797517,3222104.0,2391722.0,20250000000000.0,16500000000000.0
0.9532100140023102,3216711.0,2385900.0,19080000000000.0,12050000000000.0
0.49690116688648117,3216735.0,2385933.0,18870000000000.0,14850000000000.0
2.1489860230970574,3219741.0,2389014.0,18820000000000.0,6678000000000.0
0.532520973728657,3226661.0,2396692.0,17930000000000.0,13870000000000.0
0.40294958132368747,3222222.0,2391918.0,17840000000000.0,14690000000000.0
2.5308631652533755,3217532.0,2386794.0,17790000000000.0,5251000000000.0
1.1219718826934535,3226683.0,2396733.0,17640000000000.0,10270000000000.0
1.4840002242541412,3219727.0,2388985.0,17290000000000.0,8454000000000.0
0.5165552586642113,3222188.0,2391853.0,17010000000000.0,13260000000000.0
0.9329256499432365,3223190.0,2392959.0,16950000000000.0,10810000000000.0
0.4322311252671438,3216705.0,2385886.0,16320000000000.0,13250000000000.0
0.7140877012788575,3224562.0,2394492.0,15930000000000.0,11290000000000.0
0.5879504302993801,3224555.0,2394482.0,15800000000000.0,11900000000000.0
1.4115652799487088,3216757.0,2385978.0,15480000000000.0,7838000000000.0
